"Distance","Person","Group","Accuracy"
1,18,"Accuracy",0.963
1,4,"Accuracy",0.963
1,15,"Achievement",0.963
6,14,"Accuracy",0.889
7,6,"Accuracy",0.864
7,8,"Accuracy",0.864
8,2,"Accuracy",0.834
8,7,"Achievement",0.834
8,13,"Achievement",0.834
12,19,"Achievement",0.664
13,16,"Accuracy",0.61
13,17,"Achievement",0.61
14,11,"Achievement",0.553
15,10,"Accuracy",0.495
20,1,"Achievement",0.233
20,12,"Accuracy",0.233
20,5,"Achievement",0.233
20,9,"Achievement",0.233
24,20,"Accuracy",0.107
30,3,"Achievement",0.029
