"Participant" "Group" "mu_Distance" "mu_Distance_m" "mu_Distance_ft" "mu_Expected_Acc"
"1" "Performance" 12.1 5.566 18.2609328 0.288268533942543
"2" "Best" 9.55 4.393 14.4125544 0.706124725869746
"3" "Performance" 8.2 3.772 12.3751776 0.862263622861105
"4" "Best" 15.4 7.084 23.2411872 0.00968871770120064
"5" "Performance" 5.15 2.369 7.7722152 0.981842293533252
"6" "Best" 9.05 4.163 13.6579704 0.652777519939591
"7" "Performance" 10.35 4.761 15.6198888 0.693038674320175
"8" "Best" 9.65 4.439 14.5634712 0.618210677678685
"9" "Performance" 12.3 5.658 18.5627664 0.446578612070752
"10" "Best" 10.1 4.646 15.2425968 0.629480815012124
"11" "Performance" 17.6 8.096 26.5613568 0.00299171352622665
"12" "Best" 9.8 4.508 14.7898464 0.733060397094626
"13" "Performance" 8.75 4.025 13.20522 0.658946319842185
"14" "Best" 7.8 3.588 11.7715104 0.895918674990508
