Participant,Trial,Position,Accuracy
1,1,8,Yes
1,2,7,No
1,3,8,Yes
1,4,8,No
1,5,7,No
1,6,8,Yes
1,7,8,No
1,8,8,No
1,9,8,No
1,10,8,Yes
1,11,8,No
1,12,8,No
1,13,8,No
1,14,8,No
1,15,8,No
1,16,8,Yes
1,17,8,No
1,18,8,Yes
1,19,8,Yes
1,20,8,Yes
2,1,8,Yes
2,2,8,No
2,3,8,No
2,4,8,No
2,5,8,No
2,6,8,No
2,7,9,No
2,8,10,No
2,9,10,No
2,10,10,No
2,11,10,Yes
2,12,11,No
2,13,10,No
2,14,11,No
2,15,16,Yes
2,16,14,Yes
2,17,13,Yes
2,18,13,Yes
2,19,12,Yes
2,20,12,No
3,1,9,No
3,2,10,No
3,3,9,No
3,4,12,No
3,5,12,No
3,6,12,No
3,7,13,Yes
3,8,13,Yes
3,9,12,No
3,10,12,Yes
3,11,12,Yes
3,12,12,No
3,13,12,Yes
3,14,12,No
3,15,12,No
3,16,12,No
3,17,12,Yes
3,18,12,Yes
3,19,14,No
3,20,12,No
4,1,4,No
4,2,4,No
4,3,4,No
4,4,4,No
4,5,4,No
4,6,4,No
4,7,4,No
4,8,4,No
4,9,5,No
4,10,5,No
4,11,5,No
4,12,5,No
4,13,5,No
4,14,5,No
4,15,5,No
4,16,5,No
4,17,5,No
4,18,5,Yes
4,19,5,No
4,20,5,No
5,1,15,No
5,2,16,Yes
5,3,16,Yes
5,4,15,Yes
5,5,14,Yes
5,6,15,Yes
5,7,15,Yes
5,8,15,Yes
5,9,16,Yes
5,10,16,Yes
5,11,15,Yes
5,12,14,Yes
5,13,14,No
5,14,14,Yes
5,15,15,Yes
5,16,15,Yes
5,17,14,Yes
5,18,14,Yes
5,19,15,Yes
5,20,14,Yes
6,1,14,Yes
6,2,12,Yes
6,3,12,Yes
6,4,9,No
6,5,10,No
6,6,9,No
6,7,10,No
6,8,12,No
6,9,16,No
6,10,12,No
6,11,13,Yes
6,12,10,Yes
6,13,9,No
6,14,12,No
6,15,10,No
6,16,12,No
6,17,11,Yes
6,18,10,No
6,19,8,Yes
6,20,8,No
7,1,10,No
7,2,10,Yes
7,3,9,No
7,4,8,No
7,5,9,No
7,6,7,No
7,7,8,No
7,8,11,No
7,9,11,No
7,10,10,No
7,11,9,No
7,12,10,No
7,13,9,No
7,14,11,Yes
7,15,10,No
7,16,10,No
7,17,11,Yes
7,18,10,No
7,19,10,No
7,20,10,No
8,1,19,Yes
8,2,17,No
8,3,15,No
8,4,7,No
8,5,4,No
8,6,11,Yes
8,7,8,No
8,8,14,No
8,9,5,No
8,10,7,Yes
8,11,17,Yes
8,12,17,No
8,13,19,Yes
8,14,7,No
8,15,7,No
8,16,8,No
8,17,7,No
8,18,6,No
8,19,6,No
8,20,6,No
9,1,7,No
9,2,9,No
9,3,8,No
9,4,9,No
9,5,9,No
9,6,9,No
9,7,8,No
9,8,7,No
9,9,7,No
9,10,8,No
9,11,8,No
9,12,7,Yes
9,13,8,No
9,14,9,No
9,15,8,No
9,16,7,No
9,17,7,No
9,18,6,No
9,19,6,No
9,20,7,No
10,1,18,Yes
10,2,7,No
10,3,8,No
10,4,11,No
10,5,18,Yes
10,6,10,No
10,7,11,No
10,8,10,No
10,9,3,No
10,10,7,No
10,11,5,No
10,12,8,No
10,13,8,No
10,14,13,Yes
10,15,11,Yes
10,16,10,Yes
10,17,10,Yes
10,18,11,Yes
10,19,9,No
10,20,10,No
11,1,2,No
11,2,2,No
11,3,3,No
11,4,3,Yes
11,5,3,Yes
11,6,3,No
11,7,3,No
11,8,3,No
11,9,3,No
11,10,3,No
11,11,2,Yes
11,12,2,No
11,13,2,No
11,14,2,No
11,15,2,No
11,16,2,No
11,17,2,No
11,18,2,No
11,19,2,No
11,20,2,No
12,1,2,No
12,2,2,No
12,3,4,No
12,4,8,No
12,5,15,No
12,6,13,No
12,7,15,Yes
12,8,13,Yes
12,9,12,No
12,10,14,Yes
12,11,8,No
12,12,11,No
12,13,11,No
12,14,12,No
12,15,11,Yes
12,16,10,No
12,17,10,No
12,18,11,No
12,19,11,No
12,20,11,No
13,1,11,No
13,2,11,Yes
13,3,11,No
13,4,11,No
13,5,9,Yes
13,6,10,No
13,7,11,Yes
13,8,10,Yes
13,9,11,Yes
13,10,11,Yes
13,11,11,No
13,12,10,Yes
13,13,12,No
13,14,13,No
13,15,11,Yes
13,16,12,Yes
13,17,13,Yes
13,18,12,No
13,19,13,Yes
13,20,12,Yes
14,1,14,Yes
14,2,14,Yes
14,3,13,Yes
14,4,13,Yes
14,5,12,No
14,6,11,Yes
14,7,11,No
14,8,11,No
14,9,12,No
14,10,12,No
14,11,13,No
14,12,13,No
14,13,13,Yes
14,14,13,No
14,15,13,Yes
14,16,11,No
14,17,11,No
14,18,10,No
14,19,10,No
14,20,14,Yes
