Participant,cond,Trial,Distance,Hit
1,performance,1,8,Yes
1,performance,2,7,No
1,performance,3,8,Yes
1,performance,4,8,No
1,performance,5,7,No
1,performance,6,8,Yes
1,performance,7,8,No
1,performance,8,8,No
1,performance,9,8,No
1,performance,10,8,Yes
1,performance,11,8,No
1,performance,12,8,No
1,performance,13,8,No
1,performance,14,8,No
1,performance,15,8,No
1,performance,16,8,Yes
1,performance,17,8,No
1,performance,18,8,Yes
1,performance,19,8,Yes
1,performance,20,8,Yes
2,goal,1,8,Yes
2,goal,2,8,No
2,goal,3,8,No
2,goal,4,8,No
2,goal,5,8,No
2,goal,6,8,No
2,goal,7,9,No
2,goal,8,10,No
2,goal,9,10,No
2,goal,10,10,No
2,goal,11,10,Yes
2,goal,12,11,No
2,goal,13,10,No
2,goal,14,11,No
2,goal,15,16,Yes
2,goal,16,14,Yes
2,goal,17,13,Yes
2,goal,18,13,Yes
2,goal,19,12,Yes
2,goal,20,12,No
3,performance,1,9,No
3,performance,2,10,No
3,performance,3,9,No
3,performance,4,12,No
3,performance,5,12,No
3,performance,6,12,No
3,performance,7,13,Yes
3,performance,8,13,Yes
3,performance,9,12,No
3,performance,10,12,Yes
3,performance,11,12,Yes
3,performance,12,12,No
3,performance,13,12,Yes
3,performance,14,12,No
3,performance,15,12,No
3,performance,16,12,No
3,performance,17,12,Yes
3,performance,18,12,Yes
3,performance,19,14,No
3,performance,20,12,No
4,goal,1,4,No
4,goal,2,4,No
4,goal,3,4,No
4,goal,4,4,No
4,goal,5,4,No
4,goal,6,4,No
4,goal,7,4,No
4,goal,8,4,No
4,goal,9,5,No
4,goal,10,5,No
4,goal,11,5,No
4,goal,12,5,No
4,goal,13,5,No
4,goal,14,5,No
4,goal,15,5,No
4,goal,16,5,No
4,goal,17,5,No
4,goal,18,5,Yes
4,goal,19,5,No
4,goal,20,5,No
5,performance,1,15,No
5,performance,2,16,Yes
5,performance,3,16,Yes
5,performance,4,15,Yes
5,performance,5,14,Yes
5,performance,6,15,Yes
5,performance,7,15,Yes
5,performance,8,15,Yes
5,performance,9,16,Yes
5,performance,10,16,Yes
5,performance,11,15,Yes
5,performance,12,14,Yes
5,performance,13,14,No
5,performance,14,14,Yes
5,performance,15,15,Yes
5,performance,16,15,Yes
5,performance,17,14,Yes
5,performance,18,14,Yes
5,performance,19,15,Yes
5,performance,20,14,Yes
6,goal,1,14,Yes
6,goal,2,12,Yes
6,goal,3,12,Yes
6,goal,4,9,No
6,goal,5,10,No
6,goal,6,9,No
6,goal,7,10,No
6,goal,8,12,No
6,goal,9,16,No
6,goal,10,12,No
6,goal,11,13,Yes
6,goal,12,10,Yes
6,goal,13,9,No
6,goal,14,12,No
6,goal,15,10,No
6,goal,16,12,No
6,goal,17,11,Yes
6,goal,18,10,No
6,goal,19,8,Yes
6,goal,20,8,No
7,performance,1,10,No
7,performance,2,10,Yes
7,performance,3,9,No
7,performance,4,8,No
7,performance,5,9,No
7,performance,6,7,No
7,performance,7,8,No
7,performance,8,11,No
7,performance,9,11,No
7,performance,10,10,No
7,performance,11,9,No
7,performance,12,10,No
7,performance,13,9,No
7,performance,14,11,Yes
7,performance,15,10,No
7,performance,16,10,No
7,performance,17,11,Yes
7,performance,18,10,No
7,performance,19,10,No
7,performance,20,10,No
8,goal,1,19,Yes
8,goal,2,17,No
8,goal,3,15,No
8,goal,4,7,No
8,goal,5,4,No
8,goal,6,11,Yes
8,goal,7,8,No
8,goal,8,14,No
8,goal,9,5,No
8,goal,10,7,Yes
8,goal,11,17,Yes
8,goal,12,17,No
8,goal,13,19,Yes
8,goal,14,7,No
8,goal,15,7,No
8,goal,16,8,No
8,goal,17,7,No
8,goal,18,6,No
8,goal,19,6,No
8,goal,20,6,No
9,performance,1,7,No
9,performance,2,9,No
9,performance,3,8,No
9,performance,4,9,No
9,performance,5,9,No
9,performance,6,9,No
9,performance,7,8,No
