Participant,Distance,Total
1,3,3
1,9,6
1,15,11
1,19,12
1,11,5
1,7,5
2,3,0
2,9,2
2,15,10
2,19,12
2,11,4
2,7,2
3,7,1
3,11,4
3,19,12
3,15,7
3,9,1
3,3,1
4,7,1
4,11,8
4,19,12
4,15,12
4,9,3
4,3,0
5,3,0
5,9,1
5,15,9
5,19,12
5,11,4
5,7,1
6,3,1
6,9,3
6,15,9
6,19,12
6,11,7
6,7,2
7,7,1
7,11,5
7,19,12
7,15,10
7,9,0
7,3,1
8,7,1
8,11,4
8,19,12
8,15,9
8,9,1
8,3,0
9,3,0
9,9,1
9,15,10
9,19,12
9,11,5
9,7,1
10,3,0
10,9,4
10,15,9
10,19,12
10,11,3
10,7,2
11,7,0
11,11,6
11,19,12
11,15,11
11,9,0
11,3,0
14,17,12
14,13,9
14,11,7
14,9,7
14,4,4
14,1,0
15,17,12
15,13,9
15,11,6
15,9,7
15,4,2
15,1,0
18,17,12
18,13,8
18,11,7
18,9,2
18,4,1
18,1,4
27,17,11
27,13,5
27,11,1
27,9,0
27,4,1
27,1,0
28,17,12
28,13,9
28,11,2
28,9,4
28,4,1
28,1,1
29,17,12
29,13,6
29,11,5
29,9,2
29,4,1
29,1,1
30,17,12
30,13,10
30,11,6
30,9,1
30,4,6
30,1,1
31,17,10
31,13,12
31,11,10
31,9,9
31,4,3
31,1,1
32,17,10
32,13,7
32,11,10
32,9,5
32,4,1
32,1,1
33,17,12
33,13,8
33,11,8
33,9,4
33,4,1
33,1,1
34,17,12
34,13,11
34,11,7
34,9,8
34,4,3
34,1,3
35,17,12
35,13,10
35,11,8
35,9,7
35,4,5
35,1,1
