"Participant","cond","Trial","Distance","Hit"
"1","performance",1,8,1
"1","performance",2,7,0
"1","performance",3,8,1
"1","performance",4,8,0
"1","performance",5,7,0
"1","performance",6,8,1
"1","performance",7,8,0
"1","performance",8,8,0
"1","performance",9,8,0
"1","performance",10,8,1
"1","performance",11,8,0
"1","performance",12,8,0
"1","performance",13,8,0
"1","performance",14,8,0
"1","performance",15,8,0
"1","performance",16,8,1
"1","performance",17,8,0
"1","performance",18,8,1
"1","performance",19,8,1
"1","performance",20,8,1
"2","goal",1,8,1
"2","goal",2,8,0
"2","goal",3,8,0
"2","goal",4,8,0
"2","goal",5,8,0
"2","goal",6,8,0
"2","goal",7,9,0
"2","goal",8,10,0
"2","goal",9,10,0
"2","goal",10,10,0
"2","goal",11,10,1
"2","goal",12,11,0
"2","goal",13,10,0
"2","goal",14,11,0
"2","goal",15,16,1
"2","goal",16,14,1
"2","goal",17,13,1
"2","goal",18,13,1
"2","goal",19,12,1
"2","goal",20,12,0
"3","performance",1,9,0
"3","performance",2,10,0
"3","performance",3,9,0
"3","performance",4,12,0
"3","performance",5,12,0
"3","performance",6,12,0
"3","performance",7,13,1
"3","performance",8,13,1
"3","performance",9,12,0
"3","performance",10,12,1
"3","performance",11,12,1
"3","performance",12,12,0
"3","performance",13,12,1
"3","performance",14,12,0
"3","performance",15,12,0
"3","performance",16,12,0
"3","performance",17,12,1
"3","performance",18,12,1
"3","performance",19,14,0
"3","performance",20,12,0
"4","goal",1,4,0
"4","goal",2,4,0
"4","goal",3,4,0
"4","goal",4,4,0
"4","goal",5,4,0
"4","goal",6,4,0
"4","goal",7,4,0
"4","goal",8,4,0
"4","goal",9,5,0
"4","goal",10,5,0
"4","goal",11,5,0
"4","goal",12,5,0
"4","goal",13,5,0
"4","goal",14,5,0
"4","goal",15,5,0
"4","goal",16,5,0
"4","goal",17,5,0
"4","goal",18,5,1
"4","goal",19,5,0
"4","goal",20,5,0
"5","performance",1,15,0
"5","performance",2,16,1
"5","performance",3,16,1
"5","performance",4,15,1
"5","performance",5,14,1
"5","performance",6,15,1
"5","performance",7,15,1
"5","performance",8,15,1
"5","performance",9,16,1
"5","performance",10,16,1
"5","performance",11,15,1
"5","performance",12,14,1
"5","performance",13,14,0
"5","performance",14,14,1
"5","performance",15,15,1
"5","performance",16,15,1
"5","performance",17,14,1
"5","performance",18,14,1
"5","performance",19,15,1
"5","performance",20,14,1
"6","goal",1,14,1
"6","goal",2,12,1
"6","goal",3,12,1
"6","goal",4,9,0
"6","goal",5,10,0
"6","goal",6,9,0
"6","goal",7,10,0
"6","goal",8,12,0
"6","goal",9,16,0
"6","goal",10,12,0
"6","goal",11,13,1
"6","goal",12,10,1
"6","goal",13,9,0
"6","goal",14,12,0
"6","goal",15,10,0
"6","goal",16,12,0
"6","goal",17,11,1
"6","goal",18,10,0
"6","goal",19,8,1
"6","goal",20,8,0
"7","performance",1,10,0
"7","performance",2,10,1
"7","performance",3,9,0
"7","performance",4,8,0
"7","performance",5,9,0
"7","performance",6,7,0
"7","performance",7,8,0
"7","performance",8,11,0
"7","performance",9,11,0
"7","performance",10,10,0
"7","performance",11,9,0
"7","performance",12,10,0
"7","performance",13,9,0
"7","performance",14,11,1
"7","performance",15,10,0
"7","performance",16,10,0
"7","performance",17,11,1
"7","performance",18,10,0
"7","performance",19,10,0
"7","performance",20,10,0
"8","goal",1,19,1
"8","goal",2,17,0
"8","goal",3,15,0
"8","goal",4,7,0
"8","goal",5,4,0
"8","goal",6,11,1
"8","goal",7,8,0
"8","goal",8,14,0
"8","goal",9,5,0
"8","goal",10,7,1
"8","goal",11,17,1
"8","goal",12,17,0
"8","goal",13,19,1
"8","goal",14,7,0
"8","goal",15,7,0
"8","goal",16,8,0
"8","goal",17,7,0
"8","goal",18,6,0
"8","goal",19,6,0
"8","goal",20,6,0
"9","performance",1,7,0
"9","performance",2,9,0
"9","performance",3,8,0
"9","performance",4,9,0
"9","performance",5,9,0
"9","performance",6,9,0
"9","performance",7,8,0
"9","performance",8,7,0
"9","performance",9,7,0
"9","performance",10,8,0
"9","performance",11,8,0
"9","performance",12,7,1
"9","performance",13,8,0
"9","performance",14,9,0
"9","performance",15,8,0
"9","performance",16,7,0
"9","performance",17,7,0
"9","performance",18,6,0
"9","performance",19,6,0
"9","performance",20,7,0
"10","goal",1,18,1
"10","goal",2,7,0
"10","goal",3,8,0
"10","goal",4,11,0
"10","goal",5,18,1
"10","goal",6,10,0
"10","goal",7,11,0
"10","goal",8,10,0
"10","goal",9,3,0
"10","goal",10,7,0
"10","goal",11,5,0
"10","goal",12,8,0
"10","goal",13,8,0
"10","goal",14,13,1
"10","goal",15,11,1
"10","goal",16,10,1
"10","goal",17,10,1
"10","goal",18,11,1
"10","goal",19,9,0
"10","goal",20,10,0
"11","performance",1,2,0
"11","performance",2,2,0
"11","performance",3,3,0
"11","performance",4,3,1
"11","performance",5,3,1
"11","performance",6,3,0
"11","performance",7,3,0
"11","performance",8,3,0
"11","performance",9,3,0
"11","performance",10,3,0
"11","performance",11,2,1
"11","performance",12,2,0
"11","performance",13,2,0
"11","performance",14,2,0
"11","performance",15,2,0
"11","performance",16,2,0
"11","performance",17,2,0
"11","performance",18,2,0
"11","performance",19,2,0
"11","performance",20,2,0
"12","goal",1,2,0
"12","goal",2,2,0
