"Participant","cond","Trial","Distance","Hit"
1,"performance",1,12,1
1,"performance",2,13,0
1,"performance",3,12,1
1,"performance",4,12,0
1,"performance",5,13,0
1,"performance",6,12,1
1,"performance",7,12,0
1,"performance",8,12,0
1,"performance",9,12,0
1,"performance",10,12,1
1,"performance",11,12,0
1,"performance",12,12,0
1,"performance",13,12,0
1,"performance",14,12,0
1,"performance",15,12,0
1,"performance",16,12,1
1,"performance",17,12,0
1,"performance",18,12,1
1,"performance",19,12,1
1,"performance",20,12,1
2,"goal",1,12,1
2,"goal",2,12,0
2,"goal",3,12,0
2,"goal",4,12,0
2,"goal",5,12,0
2,"goal",6,12,0
2,"goal",7,11,0
2,"goal",8,10,0
2,"goal",9,10,0
2,"goal",10,10,0
2,"goal",11,10,1
2,"goal",12,9,0
2,"goal",13,10,0
2,"goal",14,9,0
2,"goal",15,4,1
2,"goal",16,6,1
2,"goal",17,7,1
2,"goal",18,7,1
2,"goal",19,8,1
2,"goal",20,8,0
3,"performance",1,11,0
3,"performance",2,10,0
3,"performance",3,11,0
3,"performance",4,8,0
3,"performance",5,8,0
3,"performance",6,8,0
3,"performance",7,7,1
3,"performance",8,7,1
3,"performance",9,8,0
3,"performance",10,8,1
3,"performance",11,8,1
3,"performance",12,8,0
3,"performance",13,8,1
3,"performance",14,8,0
3,"performance",15,8,0
3,"performance",16,8,0
3,"performance",17,8,1
3,"performance",18,8,1
3,"performance",19,6,0
3,"performance",20,8,0
4,"goal",1,16,0
4,"goal",2,16,0
4,"goal",3,16,0
4,"goal",4,16,0
4,"goal",5,16,0
4,"goal",6,16,0
4,"goal",7,16,0
4,"goal",8,16,0
4,"goal",9,15,0
4,"goal",10,15,0
4,"goal",11,15,0
4,"goal",12,15,0
4,"goal",13,15,0
4,"goal",14,15,0
4,"goal",15,15,0
4,"goal",16,15,0
4,"goal",17,15,0
4,"goal",18,15,1
4,"goal",19,15,0
4,"goal",20,15,0
5,"performance",1,5,0
5,"performance",2,4,1
5,"performance",3,4,1
5,"performance",4,5,1
5,"performance",5,6,1
5,"performance",6,5,1
5,"performance",7,5,1
5,"performance",8,5,1
5,"performance",9,4,1
5,"performance",10,4,1
5,"performance",11,5,1
5,"performance",12,6,1
5,"performance",13,6,0
5,"performance",14,6,1
5,"performance",15,5,1
5,"performance",16,5,1
5,"performance",17,6,1
5,"performance",18,6,1
5,"performance",19,5,1
5,"performance",20,6,1
6,"goal",1,6,1
6,"goal",2,8,1
6,"goal",3,8,1
6,"goal",4,11,0
6,"goal",5,10,0
6,"goal",6,11,0
6,"goal",7,10,0
6,"goal",8,8,0
6,"goal",9,4,0
6,"goal",10,8,0
6,"goal",11,7,1
6,"goal",12,10,1
6,"goal",13,11,0
6,"goal",14,8,0
6,"goal",15,10,0
6,"goal",16,8,0
6,"goal",17,9,1
6,"goal",18,10,0
6,"goal",19,12,1
6,"goal",20,12,0
7,"performance",1,10,0
7,"performance",2,10,1
7,"performance",3,11,0
7,"performance",4,12,0
7,"performance",5,11,0
7,"performance",6,13,0
7,"performance",7,12,0
7,"performance",8,9,0
7,"performance",9,9,0
7,"performance",10,10,0
7,"performance",11,11,0
7,"performance",12,10,0
7,"performance",13,11,0
7,"performance",14,9,1
7,"performance",15,10,0
7,"performance",16,10,0
7,"performance",17,9,1
7,"performance",18,10,0
7,"performance",19,10,0
7,"performance",20,10,0
8,"goal",1,1,1
8,"goal",2,3,0
8,"goal",3,5,0
8,"goal",4,13,0
8,"goal",5,16,0
8,"goal",6,9,1
8,"goal",7,12,0
8,"goal",8,6,0
8,"goal",9,15,0
8,"goal",10,13,1
8,"goal",11,3,1
8,"goal",12,3,0
8,"goal",13,1,1
8,"goal",14,13,0
8,"goal",15,13,0
8,"goal",16,12,0
8,"goal",17,13,0
8,"goal",18,14,0
8,"goal",19,14,0
8,"goal",20,14,0
9,"performance",1,13,0
9,"performance",2,11,0
9,"performance",3,12,0
9,"performance",4,11,0
9,"performance",5,11,0
9,"performance",6,11,0
9,"performance",7,12,0
9,"performance",8,13,0
9,"performance",9,13,0
9,"performance",10,12,0
9,"performance",11,12,0
9,"performance",12,13,1
9,"performance",13,12,0
9,"performance",14,11,0
9,"performance",15,12,0
9,"performance",16,13,0
9,"performance",17,13,0
9,"performance",18,14,0
9,"performance",19,14,0
9,"performance",20,13,0
10,"goal",1,2,1
10,"goal",2,13,0
10,"goal",3,12,0
10,"goal",4,9,0
10,"goal",5,2,1
10,"goal",6,10,0
10,"goal",7,9,0
10,"goal",8,10,0
10,"goal",9,17,0
10,"goal",10,13,0
10,"goal",11,15,0
10,"goal",12,12,0
10,"goal",13,12,0
10,"goal",14,7,1
10,"goal",15,9,1
10,"goal",16,10,1
10,"goal",17,10,1
10,"goal",18,9,1
10,"goal",19,11,0
10,"goal",20,10,0
11,"performance",1,18,0
11,"performance",2,18,0
11,"performance",3,17,0
11,"performance",4,17,1
11,"performance",5,17,1
11,"performance",6,17,0
11,"performance",7,17,0
11,"performance",8,17,0
11,"performance",9,17,0
11,"performance",10,17,0
11,"performance",11,18,1
11,"performance",12,18,0
11,"performance",13,18,0
11,"performance",14,18,0
11,"performance",15,18,0
11,"performance",16,18,0
11,"performance",17,18,0
11,"performance",18,18,0
11,"performance",19,18,0
11,"performance",20,18,0
12,"goal",1,5,0
12,"goal",2,7,0
12,"goal",3,7,0
12,"goal",4,12,0
12,"goal",5,12,0
12,"goal",6,14,0
12,"goal",7,14,0
12,"goal",8,13,0
12,"goal",9,14,1
12,"goal",10,14,0
12,"goal",11,14,1
12,"goal",12,14,1
12,"goal",13,14,0
12,"goal",14,14,0
12,"goal",15,14,0
12,"goal",16,14,0
12,"goal",17,14,0
12,"goal",18,14,1
12,"goal",19,14,1
12,"goal",20,14,1
13,"performance",1,9,0
13,"performance",2,9,0
13,"performance",3,9,0
13,"performance",4,9,0
13,"performance",5,9,0
13,"performance",6,13,1
13,"performance",7,13,0
13,"performance",8,13,0
13,"performance",9,13,0
13,"performance",10,14,1
13,"performance",11,14,0
13,"performance",12,14,1
13,"performance",13,14,0
13,"performance",14,14,1
13,"performance",15,15,0
13,"performance",16,18,1
13,"performance",17,17,1
13,"performance",18,14,0
13,"performance",19,9,0
13,"performance",20,6,0
14,"goal",1,8,0
14,"goal",2,9,0
14,"goal",3,9,0
14,"goal",4,9,0
14,"goal",5,10,0
14,"goal",6,9,0
14,"goal",7,10,0
14,"goal",8,10,0
14,"goal",9,11,0
14,"goal",10,11,0
14,"goal",11,11,0
14,"goal",12,12,0
14,"goal",13,12,1
14,"goal",14,12,0
14,"goal",15,13,0
14,"goal",16,13,1
14,"goal",17,13,0
14,"goal",18,13,0
14,"goal",19,13,1
14,"goal",20,13,0
15,"performance",1,7,0
15,"performance",2,7,0
15,"performance",3,7,0
15,"performance",4,7,0
15,"performance",5,7,0
15,"performance",6,14,1
15,"performance",7,14,1
15,"performance",8,10,0
15,"performance",9,10,0
15,"performance",10,10,1
15,"performance",11,2,0
15,"performance",12,2,0
15,"performance",13,2,0
15,"performance",14,2,1
15,"performance",15,2,0
15,"performance",16,7,0
15,"performance",17,7,0
15,"performance",18,7,0
15,"performance",19,7,0
15,"performance",20,7,0
16,"goal",1,13,1
16,"goal",2,11,0
16,"goal",3,11,1
16,"goal",4,10,0
16,"goal",5,9,0
16,"goal",6,7,0
16,"goal",7,7,0
16,"goal",8,10,0
16,"goal",9,10,1
16,"goal",10,10,1
16,"goal",11,9,0
16,"goal",12,10,0
16,"goal",13,10,1
16,"goal",14,10,0
16,"goal",15,10,1
16,"goal",16,9,0
16,"goal",17,9,1
16,"goal",18,9,0
16,"goal",19,9,1
16,"goal",20,8,0
17,"performance",1,16,0
17,"performance",2,17,1
17,"performance",3,16,1
17,"performance",4,14,1
17,"performance",5,14,0
17,"performance",6,15,1
17,"performance",7,15,1
17,"performance",8,14,0
17,"performance",9,14,1
17,"performance",10,14,0
17,"performance",11,13,1
17,"performance",12,15,0
17,"performance",13,15,0
17,"performance",14,15,1
17,"performance",15,15,1
17,"performance",16,15,1
17,"performance",17,15,1
17,"performance",18,14,0
17,"performance",19,16,1
17,"performance",20,16,1
18,"goal",1,20,1
18,"goal",2,19,1
18,"goal",3,18,1
18,"goal",4,17,1
18,"goal",5,16,1
18,"goal",6,15,1
18,"goal",7,14,1
18,"goal",8,13,1
18,"goal",9,12,1
18,"goal",10,11,1
18,"goal",11,10,1
18,"goal",12,9,0
18,"goal",13,8,1
18,"goal",14,7,0
18,"goal",15,6,0
18,"goal",16,5,0
